,Virus,Subtype,clade,genotype,day,Sample,sample_time,ferret,PFU,RNA,AUC_PFU,AUC_RNA,trans,trans_cat,trans_3cat,PFU_unlog,RNA_unlog,RBS,RBS_cat
1,WA239,H5N1,2.3.4.4b,D1.1,d1,SPOT,30min,6754,0,3.15398802,0,2.867360839,0,non-transmissible,Non-transmissible,,,0,A
2,WA239,H5N1,2.3.4.4b,D1.1,d1,SPOT,30min,6756,0.529827543,3.420845717,0.16185082,3.173732373,0,non-transmissible,Non-transmissible,,,0,A
3,WA239,H5N1,2.3.4.4b,D1.1,d1,SPOT,30min,6758,0.830857539,2.812945334,0.94000207,4.16131957,0,non-transmissible,Non-transmissible,,,0,A
4,WA239,H5N1,2.3.4.4b,D1.1,d1,NIOSH,30min,6754,0,2.825463771,-0.185636577,3.746547254,0,non-transmissible,Non-transmissible,,,0,A
5,WA239,H5N1,2.3.4.4b,D1.1,d1,NIOSH,30min,6756,0.592514673,2.854764097,0.416423414,3.750648824,0,non-transmissible,Non-transmissible,,,0,A
6,WA239,H5N1,2.3.4.4b,D1.1,d1,NIOSH,30min,6758,0,3.489310144,0.554726113,3.582787104,0,non-transmissible,Non-transmissible,,,0,A
7,WA239,H5N1,2.3.4.4b,D1.1,d1,NIOSH,30min,6754,0,2.930677752,-0.185636577,3.746547254,0,non-transmissible,Non-transmissible,,,0,A
8,WA239,H5N1,2.3.4.4b,D1.1,d1,NIOSH,30min,6756,0.416423414,2.588148957,0.416423414,3.750648824,0,non-transmissible,Non-transmissible,,,0,A
9,WA239,H5N1,2.3.4.4b,D1.1,d1,NIOSH,30min,6758,0.814363423,3.501126475,0.554726113,3.582787104,0,non-transmissible,Non-transmissible,,,0,A
10,WA239,H5N1,2.3.4.4b,D1.1,d1,NW,,6754,4.278753601,7.084392844,5.561697533,8.796132494,0,non-transmissible,Non-transmissible,,,0,A
11,WA239,H5N1,2.3.4.4b,D1.1,d1,NW,,6756,4.33243846,7.379977579,4.938269483,8.606817791,0,non-transmissible,Non-transmissible,,,0,A
12,WA239,H5N1,2.3.4.4b,D1.1,d1,NW,,6758,4,7.136602018,5.494154594,8.629997498,0,non-transmissible,Non-transmissible,,,0,A
13,WA239,H5N1,2.3.4.4b,D1.1,d2,SPOT,30min,6754,0,3.002796538,0,2.867360839,0,non-transmissible,Non-transmissible,,,0,A
14,WA239,H5N1,2.3.4.4b,D1.1,d2,SPOT,30min,6756,0,3.26540446,0.16185082,3.173732373,0,non-transmissible,Non-transmissible,,,0,A
15,WA239,H5N1,2.3.4.4b,D1.1,d2,SPOT,30min,6758,0.830857539,4.421127122,0.94000207,4.16131957,0,non-transmissible,Non-transmissible,,,0,A
16,WA239,H5N1,2.3.4.4b,D1.1,d2,NIOSH,30min,6754,0.115393419,3.916384468,-0.185636577,3.746547254,0,non-transmissible,Non-transmissible,,,0,A
17,WA239,H5N1,2.3.4.4b,D1.1,d2,NIOSH,30min,6756,0,3.439222709,0.416423414,3.750648824,0,non-transmissible,Non-transmissible,,,0,A
18,WA239,H5N1,2.3.4.4b,D1.1,d2,NIOSH,30min,6758,0.115393419,3.047391843,0.554726113,3.582787104,0,non-transmissible,Non-transmissible,,,0,A
19,WA239,H5N1,2.3.4.4b,D1.1,d2,NIOSH,30min,6754,0,2.982572416,-0.185636577,3.746547254,0,non-transmissible,Non-transmissible,,,0,A
20,WA239,H5N1,2.3.4.4b,D1.1,d2,NIOSH,30min,6756,0,3.811230136,0.416423414,3.750648824,0,non-transmissible,Non-transmissible,,,0,A
21,WA239,H5N1,2.3.4.4b,D1.1,d2,NIOSH,30min,6758,0.115393419,2.861227805,0.554726113,3.582787104,0,non-transmissible,Non-transmissible,,,0,A
22,WA239,H5N1,2.3.4.4b,D1.1,d2,NW,,6754,5.243038049,8.341628646,5.561697533,8.796132494,0,non-transmissible,Non-transmissible,,,0,A
23,WA239,H5N1,2.3.4.4b,D1.1,d2,NW,,6756,4.322219295,7.791891899,4.938269483,8.606817791,0,non-transmissible,Non-transmissible,,,0,A
24,WA239,H5N1,2.3.4.4b,D1.1,d2,NW,,6758,3.84509804,7.958996327,5.494154594,8.629997498,0,non-transmissible,Non-transmissible,,,0,A
25,WA239,H5N1,2.3.4.4b,D1.1,d3,SPOT,30min,6754,0,0,0,2.867360839,0,non-transmissible,Non-transmissible,,,0,A
26,WA239,H5N1,2.3.4.4b,D1.1,d3,SPOT,30min,6756,0.529827543,2.807340221,0.16185082,3.173732373,0,non-transmissible,Non-transmissible,,,0,A
27,WA239,H5N1,2.3.4.4b,D1.1,d3,SPOT,30min,6758,1.307978794,4.154332661,0.94000207,4.16131957,0,non-transmissible,Non-transmissible,,,0,A
28,WA239,H5N1,2.3.4.4b,D1.1,d3,NIOSH,30min,6754,0,2.94904039,-0.185636577,3.746547254,0,non-transmissible,Non-transmissible,,,0,A
29,WA239,H5N1,2.3.4.4b,D1.1,d3,NIOSH,30min,6756,0,3.077296174,0.416423414,3.750648824,0,non-transmissible,Non-transmissible,,,0,A
30,WA239,H5N1,2.3.4.4b,D1.1,d3,NIOSH,30min,6758,0,3.310198861,0.554726113,3.582787104,0,non-transmissible,Non-transmissible,,,0,A
31,WA239,H5N1,2.3.4.4b,D1.1,d3,NIOSH,30min,6754,0,3.172027693,-0.185636577,3.746547254,0,non-transmissible,Non-transmissible,,,0,A
32,WA239,H5N1,2.3.4.4b,D1.1,d3,NIOSH,30min,6756,0.592514673,3.250667675,0.416423414,3.750648824,0,non-transmissible,Non-transmissible,,,0,A
33,WA239,H5N1,2.3.4.4b,D1.1,d3,NIOSH,30min,6758,0.416423414,3.521576885,0.554726113,3.582787104,0,non-transmissible,Non-transmissible,,,0,A
34,WA239,H5N1,2.3.4.4b,D1.1,d3,NW,,6754,5.556302501,8.902756407,5.561697533,8.796132494,0,non-transmissible,Non-transmissible,,,0,A
35,WA239,H5N1,2.3.4.4b,D1.1,d3,NW,,6756,5.041392685,8.820180369,4.938269483,8.606817791,0,non-transmissible,Non-transmissible,,,0,A
36,WA239,H5N1,2.3.4.4b,D1.1,d3,NW,,6758,5.77815125,8.817880397,5.494154594,8.629997498,0,non-transmissible,Non-transmissible,,,0,A
37,WA239,H5N1,2.3.4.4b,D1.1,d5,SPOT,30min,6754,0.529827543,3.492338121,0,2.867360839,0,non-transmissible,Non-transmissible,,,0,A
38,WA239,H5N1,2.3.4.4b,D1.1,d5,SPOT,30min,6756,0.529827543,3.708742116,0.16185082,3.173732373,0,non-transmissible,Non-transmissible,,,0,A
39,WA239,H5N1,2.3.4.4b,D1.1,d5,SPOT,30min,6758,0.529827543,3.590994111,0.94000207,4.16131957,0,non-transmissible,Non-transmissible,,,0,A
40,WA239,H5N1,2.3.4.4b,D1.1,d5,NIOSH,30min,6754,0,3.523441645,-0.185636577,3.746547254,0,non-transmissible,Non-transmissible,,,0,A
41,WA239,H5N1,2.3.4.4b,D1.1,d5,NIOSH,30min,6756,0,4.314525686,0.416423414,3.750648824,0,non-transmissible,Non-transmissible,,,0,A
42,WA239,H5N1,2.3.4.4b,D1.1,d5,NIOSH,30min,6758,0.115393419,3.811597827,0.554726113,3.582787104,0,non-transmissible,Non-transmissible,,,0,A
43,WA239,H5N1,2.3.4.4b,D1.1,d5,NIOSH,30min,6754,0,3.868925922,-0.185636577,3.746547254,0,non-transmissible,Non-transmissible,,,0,A
44,WA239,H5N1,2.3.4.4b,D1.1,d5,NIOSH,30min,6756,0,3.676672117,0.416423414,3.750648824,0,non-transmissible,Non-transmissible,,,0,A
45,WA239,H5N1,2.3.4.4b,D1.1,d5,NIOSH,30min,6758,0,3.242507886,0.554726113,3.582787104,0,non-transmissible,Non-transmissible,,,0,A
46,WA239,H5N1,2.3.4.4b,D1.1,d5,NW,,6754,5.190331698,7.825019528,5.561697533,8.796132494,0,non-transmissible,Non-transmissible,,,0,A
47,WA239,H5N1,2.3.4.4b,D1.1,d5,NW,,6756,4.301029996,9.1867174,4.938269483,8.606817791,0,non-transmissible,Non-transmissible,,,0,A
48,WA239,H5N1,2.3.4.4b,D1.1,d5,NW,,6758,4.146128036,7.837970451,5.494154594,8.629997498,0,non-transmissible,Non-transmissible,,,0,A
